steps,grad_similarity
1353,-0.597215235
1354,-0.32695663
1355,0.162166119
1356,-0.300244153
1357,-0.619278371
1358,-0.152801603
1359,0.089917757
1360,0.589205444
1361,0.715369821
1362,0.694044113
1363,0.446232677
1364,-0.256934196
1365,-0.563909352
1366,-0.695634604
1367,-0.4752222
1368,-0.210072145
1369,0.113549173
1370,-0.544419885
1371,-0.414772034
1372,-0.695211411
1373,-0.138728306
1374,0.470653355
1375,0.294851124
1376,-0.25574249
1377,-0.566167891
1378,-0.647993565
1379,-0.492660761
1380,0.210267887
1381,0.132477582
1382,-0.386758566
1383,0.035847038
1384,0.787441969
1385,-0.081954099
1386,-0.003413521
1387,-0.085922197
1388,-0.255453944
1389,-0.593736947
1390,-0.584403872
1391,-0.416853547
1392,-0.382229865
1393,-0.694528878
1394,-0.059738353
1395,0.298996627
1396,-0.23526682
1397,-0.039758943
1398,-0.266413301
1399,-0.369548619
1400,-0.510082781
1401,-0.248147562
1402,-0.015051052
1403,-0.349844873
1404,0.364342332
1405,-0.518187821
1406,0.177252978
1407,0.152374312
1408,-0.170005605
1409,-0.768757582
1410,-0.432262182
1411,-0.512896538
1412,-0.404412419
1413,-0.524515212
1414,-0.176014572
1415,0.082996845
1416,-0.651817381
1417,0.377287209
1418,0.355159461
1419,0.258729875
1420,-0.06043756
1421,0.148254931
1422,0.503404021
1423,-0.329996377
1424,-0.507963002
1425,0.648544848
1426,-0.345588177
1427,-0.687461734
1428,0.067823999
1429,-0.42357105
1430,-0.514545083
1431,-0.619617522
1432,-0.296146572
1433,0.427432746
1434,0.243479133
1435,-0.269011617
1436,-0.683315516
1437,-0.286841035
1438,-0.53237015
1439,-0.473257124
1440,-0.438310653
1441,-0.169059455
1442,-0.127663374
1443,-0.437573314
1444,0.362804115
1445,0.563022137
1446,-0.544831872
1447,-0.362585813
1448,-0.681987286
1449,0.263851762
1450,0.133410335
1451,0.000864021
1452,0.572750211
1453,-0.27000463
1454,0.116360806
1455,-0.622807026
1456,0.357878387
1457,-0.581651628
1458,-0.094216183
1459,0.03169769
1460,-0.594562769
1461,0.184059829
1462,0.410434812
1463,-0.40437445
1464,-0.600745678
1465,-0.393691182
1466,-0.045982614
1467,-0.368349701
1468,-0.338571101
1469,-0.280498832
1470,-0.204716057
1471,-0.474685669
1472,-0.650838256
1473,-0.039957009
1474,0.466129512
1475,0.546299279
1476,0.71170342
1477,-0.249208748
1478,0.471518695
1479,0.635151148
1480,-0.462145299
1481,0.509886503
1482,-0.044608071
1483,-0.216960579
1484,-0.279203713
1485,0.137996376
1486,0.041851684
1487,-0.324304938
1488,-0.450981855
1489,0.268055618
1490,0.805644989
1491,0.077525511
1492,0.401480526
1493,0.792073727
1494,-0.295649409
1495,0.049170721
1496,-0.641769528
1497,-0.471200287
1498,0.08557561
1499,0.518708348
1500,-0.779072881
1501,0.499091864
1502,0.541540146
1503,0.465051234
1504,0.445138961
1505,-0.040134355
1506,-0.671266556
1507,-0.763910294
1508,-0.358169079
1509,0.564902186
1510,0.014644951
1511,-0.405163229
1512,-0.427978337
1513,-0.398868233
1514,-0.197459877
1515,-0.388894439
1516,-0.086137325
1517,-0.747176349
1518,-0.076445542
1519,-0.384776771
1520,0.164822608
1521,-0.641258478
1522,-0.487367868
1523,0.04198882
1524,0.655973971
1525,-0.594803512
1526,0.054035649
1527,0.309158087
1528,0.416859925
1529,-0.368643165
1530,0.302197337
1531,0.509043455
1532,-0.2301808
1533,-0.400072604
1534,-0.418215603
1535,0.369203895
1536,-0.157614678
1537,0.203623906
1538,0.73369205
1539,0.443951666
1540,-0.769420922
1541,-0.703095019
1542,-0.482453227
1543,-0.651416123
1544,0.742563665
1545,-0.409277856
1546,0.277061939
1547,0.385758877
1548,0.225922629
1549,-0.201444224
1550,0.346989542
1551,0.129077226
1552,-0.209309876
1553,0.167746887
1554,-0.517625213
1555,-0.469765067
1556,-0.547924519
1557,-0.733092666
1558,0.327510655
1559,-0.550254226
1560,-0.478792131
1561,-0.311076641
1562,-0.272822171
1563,-0.407442749
1564,-0.806706429
1565,-0.489627719
1566,-0.566864431
1567,0.477883965
1568,0.477288693
1569,-0.815272748
1570,-0.748610258
1571,-0.41185528
1572,-0.365385473
1573,-0.463315129
1574,0.310877442
1575,-0.577712953
1576,0.23996079
